Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Test % Positive,Geography
3/1/2020,Rockland,0,0,0,0,0.00%,COUNTY
3/1/2020,Saratoga,0,0,0,0,0.00%,COUNTY
3/1/2020,Schenectady,0,0,0,0,0.00%,COUNTY
3/1/2020,Schoharie,0,0,0,0,0.00%,COUNTY
3/1/2020,Schuyler,0,0,0,0,0.00%,COUNTY
3/1/2020,Seneca,0,0,0,0,0.00%,COUNTY
3/1/2020,St. Lawrence,0,0,0,0,0.00%,COUNTY
3/1/2020,Steuben,0,0,0,0,0.00%,COUNTY
3/1/2020,Suffolk,0,0,0,0,0.00%,COUNTY
3/1/2020,Sullivan,0,0,0,0,0.00%,COUNTY
3/1/2020,Tioga,0,0,0,0,0.00%,COUNTY
3/1/2020,Tompkins,0,0,0,0,0.00%,COUNTY
3/1/2020,Ulster,0,0,0,0,0.00%,COUNTY
3/1/2020,Warren,0,0,0,0,0.00%,COUNTY
3/1/2020,Washington,0,0,0,0,0.00%,COUNTY
3/1/2020,Wayne,0,0,0,0,0.00%,COUNTY
3/1/2020,Westchester,0,0,0,0,0.00%,COUNTY
3/1/2020,Wyoming,0,0,0,0,0.00%,COUNTY
3/1/2020,Yates,0,0,0,0,0.00%,COUNTY
3/2/2020,Albany,0,0,0,0,0.00%,COUNTY
3/2/2020,Allegany,0,0,0,0,0.00%,COUNTY
3/2/2020,Bronx,0,0,0,0,0.00%,COUNTY
3/2/2020,Broome,0,0,0,0,0.00%,COUNTY
3/2/2020,Cattaraugus,0,0,0,0,0.00%,COUNTY
3/2/2020,Cayuga,0,0,0,0,0.00%,COUNTY
3/2/2020,Chautauqua,0,0,0,0,0.00%,COUNTY
3/2/2020,Chemung,0,0,0,0,0.00%,COUNTY
3/2/2020,Chenango,0,0,0,0,0.00%,COUNTY
3/2/2020,Clinton,0,0,0,0,0.00%,COUNTY
3/2/2020,Columbia,0,0,0,0,0.00%,COUNTY
3/2/2020,Cortland,0,0,0,0,0.00%,COUNTY
3/2/2020,Delaware,0,0,0,0,0.00%,COUNTY
3/2/2020,Dutchess,0,0,0,0,0.00%,COUNTY
3/2/2020,Erie,0,0,0,0,0.00%,COUNTY
3/2/2020,Essex,0,0,0,0,0.00%,COUNTY
3/2/2020,Franklin,0,0,0,0,0.00%,COUNTY
3/2/2020,Fulton,0,0,0,0,0.00%,COUNTY
3/2/2020,Genesee,0,0,0,0,0.00%,COUNTY
3/2/2020,Greene,0,0,0,0,0.00%,COUNTY
3/2/2020,Hamilton,0,0,0,0,0.00%,COUNTY
3/2/2020,Herkimer,0,0,0,0,0.00%,COUNTY
3/2/2020,Jefferson,0,0,0,0,0.00%,COUNTY
3/2/2020,Kings,0,0,0,0,0.00%,COUNTY
3/2/2020,Lewis,0,0,0,0,0.00%,COUNTY
3/2/2020,Livingston,0,0,0,0,0.00%,COUNTY
3/2/2020,Madison,0,0,0,0,0.00%,COUNTY
3/2/2020,Monroe,0,0,0,0,0.00%,COUNTY
3/2/2020,Montgomery,0,0,0,0,0.00%,COUNTY
3/2/2020,Nassau,0,0,0,0,0.00%,COUNTY
3/2/2020,New York,0,0,0,0,0.00%,COUNTY
3/2/2020,Niagara,0,0,0,0,0.00%,COUNTY
3/2/2020,Oneida,0,0,0,0,0.00%,COUNTY
3/2/2020,Onondaga,0,0,0,0,0.00%,COUNTY
3/2/2020,Ontario,0,0,0,0,0.00%,COUNTY
3/2/2020,Orange,0,0,0,0,0.00%,COUNTY
3/2/2020,Orleans,0,0,0,0,0.00%,COUNTY
3/2/2020,Oswego,0,0,0,0,0.00%,COUNTY
3/2/2020,Otsego,0,0,0,0,0.00%,COUNTY
3/2/2020,Out-of-State,0,0,0,0,0.00%,COUNTY
3/2/2020,Putnam,0,0,0,0,0.00%,COUNTY
3/2/2020,Queens,0,0,0,0,0.00%,COUNTY
3/2/2020,Rensselaer,0,0,0,0,0.00%,COUNTY
3/2/2020,Richmond,0,0,0,0,0.00%,COUNTY
3/2/2020,Rockland,0,0,0,0,0.00%,COUNTY
3/2/2020,Saratoga,0,0,0,0,0.00%,COUNTY
3/2/2020,Schenectady,0,0,0,0,0.00%,COUNTY
3/2/2020,Schoharie,0,0,0,0,0.00%,COUNTY
3/2/2020,Schuyler,0,0,0,0,0.00%,COUNTY
3/2/2020,Seneca,0,0,0,0,0.00%,COUNTY
3/2/2020,St. Lawrence,0,0,0,0,0.00%,COUNTY
3/2/2020,Steuben,0,0,0,0,0.00%,COUNTY
3/2/2020,Suffolk,0,0,0,0,0.00%,COUNTY
3/2/2020,Sullivan,0,0,0,0,0.00%,COUNTY
3/2/2020,Tioga,0,0,0,0,0.00%,COUNTY
3/2/2020,Tompkins,0,0,0,0,0.00%,COUNTY
3/2/2020,Ulster,0,0,0,0,0.00%,COUNTY
3/2/2020,Warren,0,0,0,0,0.00%,COUNTY
3/2/2020,Washington,0,0,0,0,0.00%,COUNTY
3/2/2020,Wayne,0,0,0,0,0.00%,COUNTY
3/2/2020,Westchester,1,1,1,1,100.00%,COUNTY
3/2/2020,Wyoming,0,0,0,0,0.00%,COUNTY
3/2/2020,Yates,0,0,0,0,0.00%,COUNTY
3/3/2020,Albany,0,0,0,0,0.00%,COUNTY
3/3/2020,Allegany,0,0,0,0,0.00%,COUNTY
3/3/2020,Bronx,0,0,1,1,0.00%,COUNTY
3/3/2020,Broome,0,0,0,0,0.00%,COUNTY
3/3/2020,Cattaraugus,0,0,0,0,0.00%,COUNTY
3/3/2020,Cayuga,0,0,0,0,0.00%,COUNTY
3/3/2020,Chautauqua,0,0,0,0,0.00%,COUNTY
3/3/2020,Chemung,0,0,0,0,0.00%,COUNTY
3/3/2020,Chenango,0,0,0,0,0.00%,COUNTY
3/3/2020,Clinton,0,0,0,0,0.00%,COUNTY
3/3/2020,Columbia,0,0,0,0,0.00%,COUNTY
3/3/2020,Cortland,0,0,0,0,0.00%,COUNTY
3/3/2020,Delaware,0,0,0,0,0.00%,COUNTY
3/3/2020,Dutchess,0,0,0,0,0.00%,COUNTY
3/3/2020,Erie,0,0,0,0,0.00%,COUNTY
3/3/2020,Essex,0,0,0,0,0.00%,COUNTY
3/3/2020,Franklin,0,0,0,0,0.00%,COUNTY
3/3/2020,Fulton,0,0,0,0,0.00%,COUNTY
3/3/2020,Genesee,0,0,0,0,0.00%,COUNTY
3/3/2020,Greene,0,0,0,0,0.00%,COUNTY
3/3/2020,Hamilton,0,0,0,0,0.00%,COUNTY
3/3/2020,Herkimer,0,0,0,0,0.00%,COUNTY
3/3/2020,Jefferson,0,0,0,0,0.00%,COUNTY
3/3/2020,Kings,0,0,2,2,0.00%,COUNTY
3/3/2020,Lewis,0,0,0,0,0.00%,COUNTY
3/3/2020,Livingston,0,0,0,0,0.00%,COUNTY
3/3/2020,Madison,0,0,0,0,0.00%,COUNTY
3/3/2020,Monroe,0,0,0,0,0.00%,COUNTY
3/3/2020,Montgomery,0,0,0,0,0.00%,COUNTY
3/3/2020,Nassau,0,0,0,0,0.00%,COUNTY
3/3/2020,New York,0,0,3,3,0.00%,COUNTY
3/3/2020,Niagara,0,0,0,0,0.00%,COUNTY
3/3/2020,Oneida,0,0,0,0,0.00%,COUNTY
3/3/2020,Onondaga,0,0,0,0,0.00%,COUNTY
3/3/2020,Ontario,0,0,0,0,0.00%,COUNTY
3/3/2020,Orange,0,0,0,0,0.00%,COUNTY
3/3/2020,Orleans,0,0,0,0,0.00%,COUNTY
3/3/2020,Oswego,0,0,0,0,0.00%,COUNTY
3/3/2020,Otsego,0,0,0,0,0.00%,COUNTY
3/3/2020,Out-of-State,0,0,0,0,0.00%,COUNTY
3/3/2020,Putnam,0,0,0,0,0.00%,COUNTY
3/3/2020,Queens,0,0,2,2,0.00%,COUNTY
3/3/2020,Rensselaer,0,0,0,0,0.00%,COUNTY
3/3/2020,Richmond,0,0,0,0,0.00%,COUNTY
3/3/2020,Rockland,0,0,0,0,0.00%,COUNTY
3/3/2020,Saratoga,0,0,0,0,0.00%,COUNTY
3/3/2020,Schenectady,0,0,0,0,0.00%,COUNTY
3/3/2020,Schoharie,0,0,0,0,0.00%,COUNTY
3/3/2020,Schuyler,0,0,0,0,0.00%,COUNTY
3/3/2020,Seneca,0,0,0,0,0.00%,COUNTY
3/3/2020,St. Lawrence,0,0,0,0,0.00%,COUNTY
3/3/2020,Steuben,0,0,0,0,0.00%,COUNTY
3/3/2020,Suffolk,0,0,0,0,0.00%,COUNTY
3/3/2020,Sullivan,0,0,0,0,0.00%,COUNTY
3/3/2020,Tioga,0,0,0,0,0.00%,COUNTY
3/3/2020,Tompkins,0,0,0,0,0.00%,COUNTY
3/3/2020,Ulster,0,0,0,0,0.00%,COUNTY
3/3/2020,Warren,0,0,0,0,0.00%,COUNTY
3/3/2020,Washington,0,0,0,0,0.00%,COUNTY
3/3/2020,Wayne,0,0,0,0,0.00%,COUNTY
3/3/2020,Westchester,0,1,1,2,0.00%,COUNTY
3/3/2020,Wyoming,0,0,0,0,0.00%,COUNTY
3/3/2020,Yates,0,0,0,0,0.00%,COUNTY
3/4/2020,Albany,0,0,0,0,0.00%,COUNTY
3/4/2020,Allegany,0,0,0,0,0.00%,COUNTY
3/4/2020,Bronx,0,0,0,1,0.00%,COUNTY
3/4/2020,Broome,0,0,0,0,0.00%,COUNTY
3/4/2020,Cattaraugus,0,0,0,0,0.00%,COUNTY
3/4/2020,Cayuga,0,0,0,0,0.00%,COUNTY
3/4/2020,Chautauqua,0,0,0,0,0.00%,COUNTY
3/4/2020,Chemung,0,0,0,0,0.00%,COUNTY
3/4/2020,Chenango,0,0,0,0,0.00%,COUNTY
3/4/2020,Clinton,0,0,0,0,0.00%,COUNTY
3/4/2020,Columbia,0,0,0,0,0.00%,COUNTY
3/4/2020,Cortland,0,0,0,0,0.00%,COUNTY
3/4/2020,Delaware,0,0,0,0,0.00%,COUNTY
3/4/2020,Dutchess,0,0,0,0,0.00%,COUNTY
3/4/2020,Erie,0,0,6,6,0.00%,COUNTY
3/4/2020,Essex,0,0,0,0,0.00%,COUNTY
3/4/2020,Franklin,0,0,0,0,0.00%,COUNTY
3/4/2020,Fulton,0,0,0,0,0.00%,COUNTY
3/4/2020,Genesee,0,0,0,0,0.00%,COUNTY
3/4/2020,Greene,0,0,0,0,0.00%,COUNTY
3/4/2020,Hamilton,0,0,0,0,0.00%,COUNTY
3/4/2020,Herkimer,0,0,0,0,0.00%,COUNTY
3/4/2020,Jefferson,0,0,0,0,0.00%,COUNTY
3/4/2020,Kings,1,1,4,6,25.00%,COUNTY
3/4/2020,Lewis,0,0,0,0,0.00%,COUNTY
3/4/2020,Livingston,0,0,0,0,0.00%,COUNTY
3/4/2020,Madison,0,0,0,0,0.00%,COUNTY
3/4/2020,Monroe,0,0,0,0,0.00%,COUNTY
3/4/2020,Montgomery,0,0,0,0,0.00%,COUNTY
3/4/2020,Nassau,0,0,0,0,0.00%,COUNTY
3/4/2020,New York,1,1,4,7,25.00%,COUNTY
3/4/2020,Niagara,0,0,0,0,0.00%,COUNTY
3/4/2020,Oneida,0,0,2,2,0.00%,COUNTY
3/4/2020,Onondaga,0,0,0,0,0.00%,COUNTY
3/4/2020,Ontario,0,0,0,0,0.00%,COUNTY
3/4/2020,Orange,0,0,0,0,0.00%,COUNTY
3/4/2020,Orleans,0,0,0,0,0.00%,COUNTY
3/4/2020,Oswego,0,0,0,0,0.00%,COUNTY
3/4/2020,Otsego,0,0,0,0,0.00%,COUNTY
3/4/2020,Out-of-State,0,0,0,0,0.00%,COUNTY
3/4/2020,Putnam,0,0,0,0,0.00%,COUNTY
3/4/2020,Queens,0,0,0,2,0.00%,COUNTY
3/4/2020,Rensselaer,0,0,2,2,0.00%,COUNTY
3/4/2020,Richmond,0,0,0,0,0.00%,COUNTY
3/4/2020,Rockland,0,0,0,0,0.00%,COUNTY
3/4/2020,Saratoga,0,0,0,0,0.00%,COUNTY
3/4/2020,Schenectady,0,0,0,0,0.00%,COUNTY
3/4/2020,Schoharie,0,0,0,0,0.00%,COUNTY
3/4/2020,Schuyler,0,0,0,0,0.00%,COUNTY
3/4/2020,Seneca,0,0,0,0,0.00%,COUNTY
3/4/2020,St. Lawrence,0,0,0,0,0.00%,COUNTY
3/4/2020,Steuben,0,0,0,0,0.00%,COUNTY
3/4/2020,Suffolk,0,0,2,2,0.00%,COUNTY
3/4/2020,Sullivan,0,0,0,0,0.00%,COUNTY
3/4/2020,Tioga,0,0,0,0,0.00%,COUNTY
3/4/2020,Tompkins,0,0,0,0,0.00%,COUNTY
3/4/2020,Ulster,0,0,0,0,0.00%,COUNTY
3/4/2020,Warren,0,0,0,0,0.00%,COUNTY
3/4/2020,Washington,0,0,0,0,0.00%,COUNTY
3/4/2020,Wayne,0,0,0,0,0.00%,COUNTY
3/4/2020,Westchester,0,1,0,2,0.00%,COUNTY
3/4/2020,Wyoming,0,0,0,0,0.00%,COUNTY
3/4/2020,Yates,0,0,0,0,0.00%,COUNTY
3/5/2020,Albany,0,0,3,3,0.00%,COUNTY
3/5/2020,Allegany,0,0,0,0,0.00%,COUNTY
3/5/2020,Bronx,0,0,5,6,0.00%,COUNTY
3/5/2020,Broome,0,0,0,0,0.00%,COUNTY
3/5/2020,Cattaraugus,0,0,0,0,0.00%,COUNTY
3/5/2020,Cayuga,0,0,0,0,0.00%,COUNTY
3/5/2020,Chautauqua,0,0,0,0,0.00%,COUNTY
3/5/2020,Chemung,0,0,0,0,0.00%,COUNTY
3/5/2020,Chenango,0,0,0,0,0.00%,COUNTY
3/5/2020,Clinton,0,0,0,0,0.00%,COUNTY
3/5/2020,Columbia,0,0,0,0,0.00%,COUNTY
3/5/2020,Cortland,0,0,0,0,0.00%,COUNTY
3/5/2020,Delaware,0,0,0,0,0.00%,COUNTY
3/5/2020,Dutchess,0,0,0,0,0.00%,COUNTY
3/5/2020,Erie,0,0,6,12,0.00%,COUNTY
3/5/2020,Essex,0,0,0,0,0.00%,COUNTY
3/5/2020,Franklin,0,0,0,0,0.00%,COUNTY
3/5/2020,Fulton,0,0,0,0,0.00%,COUNTY
3/5/2020,Genesee,0,0,0,0,0.00%,COUNTY
3/5/2020,Greene,0,0,0,0,0.00%,COUNTY
3/5/2020,Hamilton,0,0,0,0,0.00%,COUNTY
3/5/2020,Herkimer,0,0,0,0,0.00%,COUNTY
3/5/2020,Jefferson,0,0,0,0,0.00%,COUNTY
3/5/2020,Kings,0,1,7,13,0.00%,COUNTY
3/5/2020,Lewis,0,0,0,0,0.00%,COUNTY
3/5/2020,Livingston,0,0,0,0,0.00%,COUNTY
3/5/2020,Madison,0,0,0,0,0.00%,COUNTY
3/5/2020,Monroe,0,0,0,0,0.00%,COUNTY
3/5/2020,Montgomery,0,0,0,0,0.00%,COUNTY
3/5/2020,Nassau,1,1,1,1,100.00%,COUNTY
3/5/2020,New York,1,2,18,25,5.56%,COUNTY
3/5/2020,Niagara,0,0,0,0,0.00%,COUNTY
3/5/2020,Oneida,0,0,0,2,0.00%,COUNTY
3/5/2020,Onondaga,0,0,0,0,0.00%,COUNTY
3/5/2020,Ontario,0,0,0,0,0.00%,COUNTY
3/5/2020,Orange,0,0,0,0,0.00%,COUNTY
3/5/2020,Orleans,0,0,0,0,0.00%,COUNTY
3/5/2020,Oswego,0,0,0,0,0.00%,COUNTY
3/5/2020,Otsego,0,0,0,0,0.00%,COUNTY
3/5/2020,Out-of-State,0,0,0,0,0.00%,COUNTY
3/5/2020,Putnam,0,0,1,1,0.00%,COUNTY
3/5/2020,Queens,1,1,6,8,16.67%,COUNTY
3/5/2020,Rensselaer,0,0,0,2,0.00%,COUNTY
3/5/2020,Richmond,0,0,0,0,0.00%,COUNTY
3/5/2020,Rockland,0,0,0,0,0.00%,COUNTY
3/5/2020,Saratoga,0,0,0,0,0.00%,COUNTY
3/5/2020,Schenectady,0,0,0,0,0.00%,COUNTY
3/5/2020,Schoharie,0,0,0,0,0.00%,COUNTY
3/5/2020,Schuyler,0,0,0,0,0.00%,COUNTY
3/5/2020,Seneca,0,0,0,0,0.00%,COUNTY
3/5/2020,St. Lawrence,0,0,0,0,0.00%,COUNTY
3/5/2020,Steuben,0,0,0,0,0.00%,COUNTY
3/5/2020,Suffolk,0,0,2,4,0.00%,COUNTY
3/5/2020,Sullivan,0,0,0,0,0.00%,COUNTY
3/5/2020,Tioga,0,0,0,0,0.00%,COUNTY
3/5/2020,Tompkins,0,0,0,0,0.00%,COUNTY
3/5/2020,Ulster,0,0,1,1,0.00%,COUNTY
3/5/2020,Warren,0,0,0,0,0.00%,COUNTY
3/5/2020,Washington,0,0,0,0,0.00%,COUNTY
3/5/2020,Wayne,0,0,0,0,0.00%,COUNTY
3/5/2020,Westchester,19,20,42,44,45.24%,COUNTY
3/5/2020,Wyoming,0,0,0,0,0.00%,COUNTY
3/5/2020,Yates,0,0,0,0,0.00%,COUNTY
3/6/2020,Albany,0,0,0,3,0.00%,COUNTY
3/6/2020,Allegany,0,0,0,0,0.00%,COUNTY
3/6/2020,Bronx,0,0,6,12,0.00%,COUNTY
3/6/2020,Broome,0,0,0,0,0.00%,COUNTY
3/6/2020,Cattaraugus,0,0,0,0,0.00%,COUNTY
3/6/2020,Cayuga,0,0,0,0,0.00%,COUNTY
3/6/2020,Chautauqua,0,0,0,0,0.00%,COUNTY
3/6/2020,Chemung,0,0,0,0,0.00%,COUNTY
3/6/2020,Chenango,0,0,0,0,0.00%,COUNTY
3/6/2020,Clinton,0,0,0,0,0.00%,COUNTY
3/6/2020,Columbia,0,0,0,0,0.00%,COUNTY
3/6/2020,Cortland,0,0,0,0,0.00%,COUNTY
3/6/2020,Delaware,0,0,0,0,0.00%,COUNTY
3/6/2020,Dutchess,0,0,0,0,0.00%,COUNTY
3/6/2020,Erie,0,0,0,12,0.00%,COUNTY
3/6/2020,Essex,0,0,0,0,0.00%,COUNTY
3/6/2020,Franklin,0,0,0,0,0.00%,COUNTY
3/6/2020,Fulton,0,0,0,0,0.00%,COUNTY
3/6/2020,Genesee,0,0,0,0,0.00%,COUNTY
3/6/2020,Greene,0,0,0,0,0.00%,COUNTY
3/6/2020,Hamilton,0,0,0,0,0.00%,COUNTY
3/6/2020,Herkimer,0,0,0,0,0.00%,COUNTY
3/6/2020,Jefferson,0,0,0,0,0.00%,COUNTY
3/6/2020,Kings,3,4,12,25,25.00%,COUNTY
3/6/2020,Lewis,0,0,0,0,0.00%,COUNTY
3/6/2020,Livingston,0,0,0,0,0.00%,COUNTY
3/6/2020,Madison,0,0,0,0,0.00%,COUNTY
3/6/2020,Monroe,0,0,0,0,0.00%,COUNTY
3/6/2020,Montgomery,0,0,0,0,0.00%,COUNTY
3/6/2020,Nassau,3,4,10,11,30.00%,COUNTY
3/6/2020,New York,3,5,14,39,21.43%,COUNTY
3/6/2020,Niagara,0,0,0,0,0.00%,COUNTY
3/6/2020,Oneida,0,0,0,2,0.00%,COUNTY
3/6/2020,Onondaga,0,0,0,0,0.00%,COUNTY
3/6/2020,Ontario,0,0,0,0,0.00%,COUNTY
3/6/2020,Orange,0,0,0,0,0.00%,COUNTY
3/6/2020,Orleans,0,0,0,0,0.00%,COUNTY
3/6/2020,Oswego,0,0,0,0,0.00%,COUNTY
3/6/2020,Otsego,0,0,0,0,0.00%,COUNTY
3/6/2020,Out-of-State,0,0,0,0,0.00%,COUNTY
3/6/2020,Putnam,0,0,0,1,0.00%,COUNTY
3/6/2020,Queens,1,2,10,18,10.00%,COUNTY
3/6/2020,Rensselaer,0,0,0,2,0.00%,COUNTY
3/6/2020,Richmond,0,0,3,3,0.00%,COUNTY
3/6/2020,Rockland,1,1,1,1,100.00%,COUNTY
3/6/2020,Saratoga,0,0,0,0,0.00%,COUNTY
3/6/2020,Schenectady,0,0,0,0,0.00%,COUNTY
3/6/2020,Schoharie,0,0,0,0,0.00%,COUNTY
3/6/2020,Schuyler,0,0,0,0,0.00%,COUNTY
3/6/2020,Seneca,0,0,0,0,0.00%,COUNTY
3/6/2020,St. Lawrence,0,0,0,0,0.00%,COUNTY
3/6/2020,Steuben,0,0,0,0,0.00%,COUNTY
3/6/2020,Suffolk,0,0,1,5,0.00%,COUNTY
3/6/2020,Sullivan,0,0,0,0,0.00%,COUNTY
3/6/2020,Tioga,0,0,0,0,0.00%,COUNTY
3/6/2020,Tompkins,0,0,0,0,0.00%,COUNTY
3/6/2020,Ulster,0,0,0,1,0.00%,COUNTY
3/6/2020,Warren,0,0,0,0,0.00%,COUNTY
3/6/2020,Washington,0,0,0,0,0.00%,COUNTY
3/6/2020,Wayne,0,0,0,0,0.00%,COUNTY
3/6/2020,Westchester,0,20,9,53,0.00%,COUNTY
3/6/2020,Wyoming,0,0,0,0,0.00%,COUNTY
3/6/2020,Yates,0,0,0,0,0.00%,COUNTY
3/7/2020,Albany,0,0,5,8,0.00%,COUNTY
3/7/2020,Allegany,0,0,0,0,0.00%,COUNTY
3/7/2020,Bronx,0,0,17,29,0.00%,COUNTY
3/7/2020,Broome,0,0,0,0,0.00%,COUNTY
3/7/2020,Cattaraugus,0,0,0,0,0.00%,COUNTY
3/7/2020,Cayuga,0,0,0,0,0.00%,COUNTY
3/7/2020,Chautauqua,0,0,0,0,0.00%,COUNTY
3/7/2020,Chemung,0,0,0,0,0.00%,COUNTY
3/7/2020,Chenango,0,0,0,0,0.00%,COUNTY
3/7/2020,Clinton,0,0,0,0,0.00%,COUNTY
3/7/2020,Columbia,0,0,0,0,0.00%,COUNTY
3/7/2020,Cortland,0,0,1,1,0.00%,COUNTY
3/7/2020,Delaware,0,0,0,0,0.00%,COUNTY
3/7/2020,Dutchess,0,0,0,0,0.00%,COUNTY
3/7/2020,Erie,0,0,2,14,0.00%,COUNTY
3/7/2020,Essex,0,0,0,0,0.00%,COUNTY
3/7/2020,Franklin,0,0,0,0,0.00%,COUNTY
3/7/2020,Fulton,0,0,0,0,0.00%,COUNTY
3/7/2020,Genesee,0,0,0,0,0.00%,COUNTY
3/7/2020,Greene,0,0,0,0,0.00%,COUNTY
3/7/2020,Hamilton,0,0,0,0,0.00%,COUNTY
3/7/2020,Herkimer,0,0,0,0,0.00%,COUNTY
3/7/2020,Jefferson,0,0,1,1,0.00%,COUNTY
3/7/2020,Kings,0,4,9,34,0.00%,COUNTY
3/7/2020,Lewis,0,0,0,0,0.00%,COUNTY
3/7/2020,Livingston,0,0,0,0,0.00%,COUNTY
3/7/2020,Madison,0,0,0,0,0.00%,COUNTY
3/7/2020,Monroe,0,0,2,2,0.00%,COUNTY
3/7/2020,Montgomery,0,0,0,0,0.00%,COUNTY
3/7/2020,Nassau,2,6,5,16,40.00%,COUNTY
3/7/2020,New York,0,5,22,61,0.00%,COUNTY
3/7/2020,Niagara,0,0,0,0,0.00%,COUNTY
3/7/2020,Oneida,0,0,0,2,0.00%,COUNTY
3/7/2020,Onondaga,0,0,0,0,0.00%,COUNTY
3/7/2020,Ontario,0,0,0,0,0.00%,COUNTY
3/7/2020,Orange,0,0,0,0,0.00%,COUNTY
3/7/2020,Orleans,0,0,0,0,0.00%,COUNTY
3/7/2020,Oswego,0,0,0,0,0.00%,COUNTY
3/7/2020,Otsego,0,0,1,1,0.00%,COUNTY
3/7/2020,Out-of-State,0,0,0,0,0.00%,COUNTY
3/7/2020,Putnam,0,0,1,2,0.00%,COUNTY
3/7/2020,Queens,0,2,14,32,0.00%,COUNTY
3/7/2020,Rensselaer,0,0,2,4,0.00%,COUNTY
3/7/2020,Richmond,0,0,2,5,0.00%,COUNTY
3/7/2020,Rockland,0,1,0,1,0.00%,COUNTY
3/7/2020,Saratoga,0,0,1,1,0.00%,COUNTY
3/7/2020,Schenectady,0,0,0,0,0.00%,COUNTY
3/7/2020,Schoharie,0,0,0,0,0.00%,COUNTY
3/7/2020,Schuyler,0,0,0,0,0.00%,COUNTY
3/7/2020,Seneca,0,0,0,0,0.00%,COUNTY
3/7/2020,St. Lawrence,0,0,2,2,0.00%,COUNTY
3/7/2020,Steuben,0,0,0,0,0.00%,COUNTY
3/7/2020,Suffolk,0,0,2,7,0.00%,COUNTY
3/7/2020,Sullivan,0,0,0,0,0.00%,COUNTY
3/7/2020,Tioga,0,0,0,0,0.00%,COUNTY
3/7/2020,Tompkins,0,0,0,0,0.00%,COUNTY
3/7/2020,Ulster,0,0,0,1,0.00%,COUNTY
3/7/2020,Warren,0,0,1,1,0.00%,COUNTY
3/7/2020,Washington,0,0,0,0,0.00%,COUNTY
3/7/2020,Wayne,0,0,0,0,0.00%,COUNTY
3/7/2020,Westchester,22,42,110,163,20.00%,COUNTY
3/7/2020,Wyoming,0,0,0,0,0.00%,COUNTY
3/7/2020,Yates,0,0,0,0,0.00%,COUNTY
3/8/2020,Albany,0,0,2,10,0.00%,COUNTY
3/8/2020,Allegany,0,0,0,0,0.00%,COUNTY
3/8/2020,Bronx,1,1,16,45,6.25%,COUNTY
